X,Y,Evento,Assunto,Data,Ano,Pasta,Página,Local de a,Arquivo,Prática,Atores (ge,Resumo,Ciclo,icon_url
-43.93956,-19.920212,"""Afirma o gen. Guedes que Minas pode resistir por tempo indeterminado""
 ""Soluções dentro das linhas da ordem constitucional""
 ""Destruição do país""",Protesto contra aumento dos salários dos deputados,1960/01/15,"1960","-","-",Assembleia Legislativa,"Linha do tempo
1960-1983",Ocupação de espaços públicos/coletivos,Sociedade Civil,"Mais de vinte mil assinaturas foram recolhidas em protesto contra projeto que aumentava em 40% o salário dos deputados da Assembleia Legislativa, em janeiro de 1960. Os manifestantes foram dispersados e o projeto aprovado. Revista Alterosa, número 322,",Ciclo 1,./0.png
-43.9416,-19.9134,"""Chega de panela vazia, abaixo a Caristia
",Aprovação da lei da Previdência Social / Concentração Sindical dos tecelões - Auditório da Rádio Inconfidência,1960/01/21,"1960","200","29",Auditório da Rádio Inconfidência,DOPS/DT,Ocupação de espaços públicos/coletivos,Sindicatos,"O Sindicato de fiação e tecelagem de Belo Horizonte mobiliza cerca de 5 mil trabalhadores para ocupar o Auditório da Rádio Inconfidência e pressionar pela aprovação da lei da previdência social, entre outras medidas de contenção do ato custo de",Ciclo 1,./0.png
-43.9416,-19.9134,"""Concentração-monstro"" de líderes sindicais de Minas Gerais",Dia do protesto e da omissão,1960/01/21,"1960","3804","81",Auditório da Rádio Inconfidência,DOPS,Comício/Concentração,Ativistas,"Comunistas se concentram no Auditório da Rádio Inconfidência, em função do dia do protesto e da omissão.",Ciclo 1,./0.png
-43.940944869373,-19.9152048870486,"""Entusiasmo popular com a vitória à vista""
""Multidões em júbilo na Praça da Liberdade
""Encheram-se de povo as ruas para festejar o prenuncio da vitória""",Homenagem ao dia do trabalhador,1960/02/03,"1960","3804","82",Praça Rio Branco,DOPS,Evento,Sindicatos,"O delegado do IAPC (Instituto de Aposentadorias e Pensões dos Comerciários) requerimento ao DOPS ""pedindo licença para fazer no dia 1º de maio vindouro uma grande concentração na Praça Rio Branco em homenagem ao trabalhador de Minas Gerais""; ""est�",Ciclo 1,./0.png
-43,-19,"""Estudantes agitados foram contidos""",Criação de comissão,1960/06/01,"1960","-","-",Feira Permanente de Amostras,"Linha do tempo
1960-1983",Legislação/Governamental,Poder Público,"É criada a Comissão de Auxílio ao Favelado Desabrigado - Confade - com a participação de técnicos e membros da Federação dos Trabalhadores Favelados de Belo Horizonte (FTFBH). Ela era responsável pelo cadastramento de necessitados, pela gestão",Ciclo 1,./0.png
-43.9434197482088,-19.923788,"""Exército e Polícia unidos: defesa da legalidade""
 ""Detidos todos os líderes comunistas""",3º Congresso Sindical de Minas Gerais,1960/06/29,"1960","-","-",Auditório da Secretaria de Saúde e Assistência,"Linha do tempo
1960-1983",Evento,Sindicatos,Durante a realização do III Congresso Sindical de Minas Gerais é divulgada nota contra aumento no preço do transporte público. Nesse contexto surge pela primeira vez uma articulação entre líderes sindicais e movimentos estudantis entorno da quest,Ciclo 1,./0.png
-43.942242,-19.922163,1° Congresso Nacional Pró-reforma Agrária,"Inauguração;
Comitê Político",1960/08/30,"1960","189","37",Rua Pe Belchior com Rua Goitacazes,DOPS,Evento,Ativistas,Apoiadores do antigo governo Getúlio Vargas inauguram um Comitê Político no cruzamento das ruas Pe. Belchior com Goitacazes.,Ciclo 1,./0.png
-43.9383524053986,-19.9191485641367,1ª Concentração Regional de Agricultores,"""Passeata da Fome"" dos tecelões",1961/01/19,"1961","-","-",Área central,"Linha do tempo
1960-1983",Passeatas,Trabalhadores,"Mais de dois mil trabalhadores acompanham os grevistas da Companhia de Fiação de Tecelagem de Marzagânia em sua “passeata da fome” pelas ruas da cidade, que termina no Palácio da Liberdade, onde os dirigentes sindicais são recebidos pelo chefe d",Ciclo 1,./0.png
-43,-19,2 telefonemas com ameaça de bomba na PBH (quarto andar).,Concentração da FTF sobre problema dos desabrigados,1961/02/01,"1961","-","-",Palácio da Liberdade,"Linha do tempo
1960-1983",Comício/Concentração,Movimento de moradores de favela,Em janeiro de 1961 a Federação de Trabalhadores Favelados de Belo Horizonte (FTFBH) faz levantamento dos casebres destruídos com chuvas de verão e começa campanha para solução pública do problema dos desabrigados. No mês de feveriero realizam re,Ciclo 1,./0.png
-43,-19,"3º Congresso Nacional dos Trabalhadores (""Congresso de Libertação Nacional"")",Reunião da FTF,1961/02/23,"1961","189","38",Centro de Choferes de Belo Horizonte,DOPS,Assembleia/Reunião,Movimento de moradores de favela,Membros da Federação de Trabalhadores Favelados de Belo Horizonte (FTFBH) se reuniram para discutir providências que o Governo do Estado deveria tomar frente à destruição de barracões danificados pelas chuvas.,Ciclo 1,./0.png
-43.939346,-19.917078,"A partir de 1967, a estratégia do comício relâmpago passou a ocorrer de maneira mais sistemática, nessa ocasião, os comícios ocorreram na Praça da Liberdade na Praça Rui Barbosa e na Praça 7",Assembléia Geral Ordinária,1961/03/27,"1961","200","27",Sindicato dos Trabalhadores nas Indústrias de Fiação e Tecelagem de Belo Horizonte,DOPS,Assembleia/Reunião,Sindicatos,Assembléia Geral Ordinária do Sindicato dos Trabalhadores nas Indústrias de Fiação e Tecelagem de Belo Horizonte.,Ciclo 1,./0.png
-43.9378092463574,-19.9186435544379,Ações de despejo se acentuam,Fixação de Cartazes/ Revolução Cubana,1961/04/18,"1961","197","60",Cine-Brasil,DOPS/DT,Cartazes/Pixação,Estudantes,Cartazes e pixos em alusão à revolução cubana são colados no restaurante do Cine Brasil e na Faculdade de Direito da UFMG.,Ciclo 1,./0.png
-43.936704,-19.925668,Afixação de cartazes na FAFICH sobre reunião em comemoração à Anistia de 1945,Fixação de Cartazes/ Revolução Cubana,1961/04/18,"1961","197","60",Faculdade de Direito da UFMG,DOPS/DT,Cartazes/Pixação,Estudantes,Cartazes e pixos em alusaõ à revolução cubana são colados no restaurante do Cine Brasil e na Faculdade de Direito da UFMG.,Ciclo 1,./0.png
